username,successful logins,failed logins,total logins,succesful login times,failed login times,schema
ipt101,16,16,32,11.375,28.125,testpasstiles
ipt104,12,0,12,21.916666666666668,0,testpasstiles
ipt105,15,7,22,9.133333333333333,14.714285714285714,testpasstiles
ipt106,15,6,21,12.071428571428571,9.5,testpasstiles
ipt109,15,0,15,23.133333333333333,0,testpasstiles
ipt110,15,4,19,11.533333333333333,41.5,testpasstiles
ipt113,17,12,29,10.529411764705882,8.833333333333334,testpasstiles
ipt119,16,2,18,14.1875,8.5,testpasstiles
ipt131,12,3,15,37.416666666666664,45.666666666666664,testpasstiles
ipt133,15,1,16,14.785714285714286,6.0,testpasstiles
ipt134,15,5,20,21.266666666666666,45.8,testpasstiles
ipt136,15,3,18,12.466666666666667,17.333333333333332,testpasstiles
ipt137,16,4,20,19.5625,22.0,testpasstiles
ipt143,15,3,18,12.928571428571429,15.666666666666666,testpasstiles
ipt145,15,1,16,24.733333333333334,34.0,testpasstiles
ast103,16,1,17,12.1875,18.0,testtextrandom
ast104,16,10,26,11.9375,14.0,testtextrandom
ast105,12,3,15,7.083333333333333,8.333333333333334,testtextrandom
ast107,15,6,21,5.133333333333334,6.5,testtextrandom
ast108,19,0,19,4.2105263157894735,0,testtextrandom
ast111,12,8,20,20.916666666666668,9.125,testtextrandom
ast112,15,0,15,7.733333333333333,0,testtextrandom
ast114,15,7,22,11.133333333333333,9.857142857142858,testtextrandom
ast115,15,0,15,11.2,0,testtextrandom
ast116,15,0,15,5.933333333333334,0,testtextrandom
ast118,15,1,16,7.8,9.0,testtextrandom
ast125,15,3,18,6.4,6.0,testtextrandom
ast131,15,6,21,12.066666666666666,22.5,testtextrandom
ast133,9,0,9,14.555555555555555,0,testtextrandom
ast134,15,0,15,7.533333333333333,0,testtextrandom
ast135,3,1,4,7.333333333333333,5.0,testtextrandom
ast136,15,0,15,10.333333333333334,0,testtextrandom
ast138,16,0,16,15.6875,0,testtextrandom
